case,ranking,ranking_2,linear_greedy,linear_em,quadratic_greedy,quadratic_em
1,1>2>3>4,4>3>2>1,0.229776182303327,0.254746991429607,0.000637501517874945,4.18764331052916e-06
2,1>2>4>3,3>4>2>1,0.228415645877245,0.250471798870014,0.000526147293603913,3.53894382986932e-07
3,1>3>2>4,4>2>3>1,0.163889726621001,0.218559255672295,0.000611789219536944,7.24439111872772e-06
4,1>4>2>3,3>2>4>1,0.161192050898175,0.172570815676488,0.000565690218434917,1.87446791436496e-05
5,2>1>3>4,4>3>1>2,0.192927850868264,0.2404831061384,0.000639568941428259,6.40861586389663e-06
6,2>1>4>3,3>4>1>2,0.19268608724371,0.198214495574443,0.000600578749002716,7.04057097138482e-06
