"model","beach","beach_sd","boat","boat_sd","charter","charter_sd","pier","pier_sd","pred_error","pred_error_sd","n"
"our_method",0.113506296921964,0.00887969890512063,0.35273654700922,0.0146573484428613,0.382955831520348,0.016566159111261,0.150801324548468,0.0104997530239875,5.07705689832474e-06,4.92533128195221e-06,50
"mnl",0.14140220816401,0.0074561081203695,0.354628377624881,0.0147853871089958,0.378190584006112,0.0169464160778658,0.125778830204997,0.00710200910561601,0.0378299708243396,0.00920676557169902,50
"nest_charter",0.113901262190636,0.00950122983106857,0.352752620720323,0.0146573698852111,0.382923586575691,0.0165583213658629,0.15042253051335,0.0111210160655776,0.000584507390376035,0.00194085822728319,50
"nest_boat",0.141395949978991,0.00745023733217386,0.354630470055487,0.0147880508280444,0.378202517735021,0.0169384424027714,0.125771062230501,0.00709545643300845,0.0378290712404247,0.00920801545319013,50
"mixed_logit_lognormal",0.14179173248317,0.00752793889646694,0.354321979570817,0.0145418735810858,0.378257032189514,0.0169001795269945,0.125629255756499,0.00705854895468589,0.0381966536576814,0.0093253749525608,50
"mnl_FE",0.113497163359315,0.00887867768944242,0.352739323884663,0.0146561857547526,0.382959653337981,0.0165674930173675,0.150803859418041,0.0104980628362989,7.81618509301554e-06,6.71278903469811e-06,50
"mixed_logit_lognormal_FE",0.113507881451295,0.00887856395735239,0.352721755496862,0.0146748502925108,0.38296400331673,0.01658018925004,0.150806359735113,0.0104994292947905,3.09628401247322e-05,5.19699598596338e-05,50
