case,ranking,ranking_2,linear_greedy,linear_em,quadratic_greedy,quadratic_em
1,1>3>4>2,2>4>3>1,0.226930467433258,0.255715803792598,0.000666059210690919,6.50160504679878e-06
2,1>3>2>4,4>2>3>1,0.192648251781331,0.233805743729499,0.000634323264961399,5.5035329758323e-06
3,1>4>3>2,2>3>4>1,0.163764858274303,0.218559201244784,0.000682705058646235,1.24490652844688e-05
4,2>4>1>3,3>1>4>2,0.226882242471321,0.255114788165904,0.000644406980972606,1.96205347287733e-06
5,2>1>4>3,3>4>1>2,0.1637488142475,0.17976806188887,0.000682888409783699,9.49430247797206e-06
6,3>1>2>4,4>2>1>3,0.192667789878284,0.212040309850844,0.000614046772254882,5.59326472812694e-06
