"model","beach","beach_sd","boat","boat_sd","charter","charter_sd","pier","pier_sd","pred_error","pred_error_sd","n"
"our_method",0.115404257994433,0.00863717460367988,0.349909914462238,0.0234676520323051,0.382333080173715,0.0254927064585698,0.152352747369614,0.0100285349873309,0.051633463846688,0.021646913434539,50
"mnl",0.142898406379721,0.011345262492542,0.352631213157284,0.0167973285483425,0.377223001746883,0.0219447710352081,0.127247378716112,0.0111398944755836,0.0579518031820923,0.0190568926491634,50
"nest_charter",0.115337875265024,0.0116372284736327,0.350055235213185,0.0223690855402228,0.382550143430284,0.017758917535899,0.152056746091508,0.0135900828416217,0.0498380101667276,0.0198064485902932,50
"nest_boat",0.142891310679925,0.0113538063467518,0.352632900560122,0.0168013667861334,0.377236768526084,0.0219518748592609,0.127239020233869,0.0111483393868007,0.0579518998400873,0.0190628910293339,50
"mixed_logit_lognormal",0.14327434561717,0.0101208454015106,0.352290261068798,0.0160971142076127,0.377366474331788,0.0211080700205713,0.127068918982244,0.00988321948351842,0.057624354530464,0.018368957771343,50
"mnl_FE",0.115801052456648,0.0137188868022571,0.349833257973978,0.0193806990763319,0.380337797458728,0.0219255096182798,0.154027892110646,0.0190396263430605,0.0475879437629129,0.0220503583756862,50
"mixed_logit_lognormal_FE",0.113418074463062,0.00797769810532339,0.352714919716251,0.014591878542902,0.383013137699239,0.0176304308680217,0.150853868121448,0.0104447040311949,0.0480141086709533,0.0168588816954369,50
